referecia;DESCRIPCION;VRCMP;VRVEN;PROVEEDOR;CNT;BODEGA
ABDIS135;ABREBANDAS DISCOVER 135;4919;7900;900219370;2;1
ABTAK110;ABREBANDAS TRASERO AKT 110;4919;7900;900219370;5;1
ABTAK125;ABREBANDAS TRASERO AKT 125S;4919;7900;900219370;5;1
ABTAKT125SL;ABREBANDAS TRASERO AKT 125SL;4919;7900;900219370;5;1
ABTAX100;ABREBANDAS TRASERO AX100;4919;7900;900219370;5;1
ABTBX100;ABREBANDAS TRASERO BOXER 100;4347;7000;900219370;4;1
ABTC100;ABREBANDAS TRASERO C100BIZ;4919;7900;900219370;2;1
ABTC100W;ABREBANDAS TRASERO C100 WAVE;4919;7900;900219370;2;1
ABTC70;ABREBANDAS TRASERO C70;4919;7900;900219370;3;1
ABTCD100;ABREBANDAS TRASERO CD100;4919;7900;900219370;3;1
ABTCRP110;ABREBANDAS TRASERO CRYPTON 110;4919;7900;900219370;3;1
ABTDIS125;ABREBANDAS TRASERO DISCOVER 125;4919;7900;900219370;2;1
ABTDR200;ABREBANDAS TRASERO DR 200;4919;7900;900219370;1;1
ABTDTK125;ABREBANDAS TRASERO DTK 125;4919;7900;900219370;2;1
ABTECO100;ABREBANDAS TRASERO ECO 100;4919;7900;900219370;4;1
ABTFR100;ABREBANDAS TRASERO FR 100;4919;7900;900219370;3;1
ABTGN125;ABREBANDAS TRASERO GN 125;4919;7900;900219370;2;1
ABTPL100;ABREBANDAS TRASERO PLATINO 100;4919;7900;900219370;1;1
ABTPLS180;ABREBANDAS TRASERO PULSAR 180;4919;7900;900219370;2;1
ABTRX115;ABREBANDAS TRASERO RX 115;4919;7900;900219370;4;1
ABTVVA115;ABREBANDAS TRASERO VIVA 115;4919;7900;900219370;3;1
ABTXL125;ABREBANDAS TRASERO  XL 125;4919;7900;900219370;2;1
ABTYBR125;ABREBANDAS TRASERO YBR125;4919;7900;900219370;2;1
AC10MM;ARANDELA COBRE 10MM;590;1000;900219370;20;1
AC14MM;ARANDELA COBRE 14MM;810;1500;900219370;20;1
AC5MM;ARANDELA COBRE 5MM;300;600;900219370;20;1
AC6MM;ARANDELA COBRE 6MM;425;1000;900219370;20;1
AC8MM;ARANDELA COBRE 8MM;540;1000;900219370;20;1
ACADV;ACEITE ADVANCE 4T SX 20M50 1/4 AXS;11800;20400;805005639;0;1
ACMT;ACEITE MOTUL 3000 20W 50 4T 1/4;17410;25400;805005639;12;1
ACRBRRS;ACRILICO DE BARRAS;6000;12000;79734278;13;1
ACSP;ACEITE SUPER MOBIL 20W50 4T CN 1/4;12150;20600;805005639;24;1
ACYM;ACEITE YAMALUBE 4T 20M50 LITRO;14833;22300;805005639;0;1
ACYM2T;ACEITE YAMALUBE 2T EN LITRO;14915;24200;805005639;12;1
ANTVBR;ANTI VIBRANTES;4000;8000;79734278;5;1
ASCXL125;ANILO SIJETADOR CATALIA XL 125;2900;4700;900219370;10;1
BAT12N;BATERIA 12N 74A GN125;41753;64800;805005639;1;1
BATAKT;BATERIA AKT125 PILA SECA;34650;55600;805005639;2;1
BBDIR;BOMBILLO DIRECCIONAL 12V;295;600;805005639;20;1
BBFRLA;BOMBILLO FAROLA FS80 12V 35/35M HALOGENO;1080;2200;805005639;10;1
BBFRVSP;BOMBILLO FAROLA VESPA 12 V/SUMA 80 AZUL;1650;3400;805005639;10;1
BBHLGMA;BOMBILLO HALOGENO 12/25 RX/TSZ;1295;2500;805005639;10;1
BBKMX;BOMBILLO KMX 1235 PUNTA NEGRA;1760;3400;805005639;20;1
BBSTP;BOMBILLO STOP 12V 32 CP;390;800;805005639;30;1
BBTNBL;BOMBILLO TABLERO TIPO BALLONET XX12V;185;500;805005639;30;1
BDAX;BANDAS AX/FR/BOXER/XCD/CBI/ SAKURA;6945;10300;805005639;20;1
BDBWS;BANDAS BWS-125 4T CBI;9360;14100;805005639;5;1
BDFS;BANDAS FS/V80/YB/RX100-115/ CBI;6800;10200;805005639;10;1
BDLRG;BUJIA DENSO LARGA W24ES/W20XR;3000;4500;805005639;10;1
BDTRFZ;BANDAS TRASERAS FZ-16/YBR125 CBI;7100;35500;805005639;5;1
BDU22FS;BUJIA DENSO U22FS/C70/BOXER/SPLENDOR/VIVA;3780;5600;805005639;30;1
BDU24S;BUJIA DENSO U24ES/PULSAR/GN/DISCOVER 135;4675;6900;805005639;10;1
BDX24S;BUJIA DENSO X24S/XL/GL145/CB125;3080;4500;805005639;10;1
BDXL;BANDAS XL-TRIAL/CD/ECO DELUX/ TRA CBF;7510;11500;805005639;7;1
BDXRT;BUJIA DENSO CORTA W22FS/W20FP;3000;4500;805005639;10;1
BJAM10MM;BUJE AMORTIGUADOR TRASERO 10MM;800;1500;900219370;10;1
BJAM12MM;BUJE AMORTIGUADOR TRASERO 12MM;840;1600;900219370;10;1
BJDEPBALTRAVVA115;BUJE SEPARADOR BALINERA TRASERA VIVA 115;1575;3000;900219370;5;1
BJPNRX115;BUJE PIÑOM SALIDA RX 115;2100;3400;900219370;3;1
BJPNSALAX100;BUJE PIÑON SALIDA AX 100;2100;3400;900219370;3;1
BJPNSALBX100;BUJE PIÑON SALIDA BOXER 100;2100;3400;900219370;3;1
BJPNSALDTK125;BUJE PIÑON SALIDA DTK 125;2100;3400;900219370;3;1
BJPRAKT125;BUJE PORTACATALINA AKT 125 EVO;4653;7500;900219370;1;1
BJPRAKT125S;BUJE PORTACATALINA AKT 125S;4653;7500;900219370;2;1
BJPRAX100;BUJE PORTACATALINA AX 100;3003;4800;900219370;3;1
BJPRBES125;BUJE PORTACATALINA BEST 125;3003;4800;900219370;1;1
BJPRBX100;BUJE PORTACATALINA BOXER 100;6006;9600;900219370;2;1
BJPRC100BZ;BUJE PORTACATALINA C 100 BIZ;2194;3500;900219370;1;1
BJPRC70;BUJE PORTACATALINA C70;5660;8900;900219370;1;1
BJPRCB110;BUJE PORTACATALINA CB 110;2888;4600;900219370;1;1
BJPRCBF125;BUJE PORTACATALINA CBF125;10164;16300;900219370;1;1
BJPRCBF150;BUJE PORTACATALINA CBF 150;10395;16600;900219370;1;1
BJPRCBZ160;BUJE PORTACATALINA CBZ160;10395;16500;900219370;1;1
BJPRCRY;BUJE PORTACATALINA CRYPTON;5891;9400;900219370;1;1
BJPRFR80;BUJE PORTACATALINA FR80;5891;9400;900219370;1;1
BJPRGN125;BUJE PORTACATALINA GN 125;4043;6400;900219370;1;1
BJPRLIB110;BUJE PORTACATALINA LIBERO 110;2656;4300;900219370;1;1
BJPRRX100;BUJE PORTACATALINA RX 100 A;6122;9400;900219370;1;1
BJPRRX115;BUJE PORTACATALINA RX 115;5891;9200;900219370;2;1
BJPRV80;BUJE PORTACATALINA V80;5891;9200;900219370;1;1
BJPRVVA115;BUJE PORTACATALINA VIVA 115;3003;4800;900219370;1;1
BJPRYBR125;BUJE PORTACATALINA YBR 125;4158;6500;900219370;1;1
BJSEPBABFR80;BUJE SEPARADOR BABERO FR 80;1150;2000;900219370;5;1
BJSEPBALDELAX100;BUJE SEPARADOR BALINERA DELANTERA AX 100;2100;3800;900219370;2;1
BJSEPBALDELDTK125;BUJE SEPARADOR BALINERA DELANTERA DETK 125;3675;5800;900219370;2;1
BJSEPBALDELECO100;BUJE SEPARADOR BALINERA DELANTERA ECO 100;2730;4300;900219370;2;1
BJSEPBALDELFR80;BUJE SEPARADOR BALINERA DELANTERA FR80;2100;3400;900219370;2;1
BJSEPBALDELRX115;BUJE SEPARADOR BALINERA DELANTERA RX 115;3675;5800;900219370;2;1
BJSEPBALTRAC70;BUJE SEPARADOR BALINERA TRASERA C70;1575;2500;900219370;3;1
BJSEPBALTRADTK125;BUJE SEPARADOR BALINERA TRASERA DTK 125;6500;9800;900219370;3;1
BJSEPBALTRAECO100;BUJE SEPARADOR BALINERA TRASERA ECO100;2940;4800;900219370;3;1
BJSEPBALTRAFR80;BUJE SEPARADOR BALINERA TRASERA V80;2625;4300;900219370;2;1
BJSEPBALTRAGN125;BUJE SEPARADOR BALINERA TRASERA GN125;4200;6700;900219370;2;1
BJSEPBALTRAKT125;BUJE SEPARADOR BALINERA TRASERA AKT125 FLEX ;2625;4200;900219370;2;1
BJSEPBALTRARX115;BUJE SEPARADOR BALINERA TRASERA RX 115;1575;3000;900219370;3;1
BJSEPBALTRBEST125;BUJE SEPARADOR BALINERA TRASERA BEST 125;2730;4300;900219370;2;1
BJSEPBALTRBX100;BUJE SEPARADOR BALINERA TRASERA BOXER 100;2940;4700;900219370;3;1
BJSEPBALTRC90;BUJE SEPARADOR BALINERA TRASERA C90;1575;2500;900219370;3;1
BJSEPRUDELAX100;BUJE SEPARADOR RUEDA DELANTERA AX100;1575;3000;900219370;5;1
BJSEPRUDELC70;BUJE SEPARADOR RUEDA DELANTERA C70;2310;3800;900219370;3;1
BJSEPRUDELC90;BUJE SEPARADOR RUEDA DELANTERA C90;2310;3696;900219370;3;1
BJSEPRUDELECO100;BUJE SEPARADOR RUEDA DELANTERA ECO100;2600;4800;900219370;3;1
BJSEPRUDELFR80;BUJE SEPARADOR RUEDA DELANTERA FR80;1575;3000;900219370;3;1
BJSEPRUTRDAX100;BUJE SEPARADOR RUEDA TRASERA DERECHA AX 100;3255;6200;900219370;5;1
BJSEPRUTRDBX100;BUJE SEPARADOR RUEDA TRASERA DERECHA BOXER 100;3550;7200;900219370;3;1
BJSEPRUTRDECO;BUJE SEPARADOR RUEDA TRASERA DERECHA ECO DELUXE;3000;5900;900219370;3;1
BJSEPRUTRIEAX100;BUJE SEPARADOR RUEDA TRASERA IZQUIERDA AX100;2200;4600;900219370;3;1
BJSEPRUTRIECO;BUJE SEPARADOR RUEDA TRASERA IZQUIERDA ECO DELUXE;2800;5200;900219370;3;1
BJSEPRUTRIRX115;BUJE SEPARADOR RUEDA TRASERA IZQUIERDA RX 115;3255;6200;900219370;3;1
BJSPBALDELBX100;BUJE SEPARADOR BALINERA DELANTERA BOXER 100;2730;4400;900219370;2;1
BJSPBALTRAX100;BUJE SEPARADOR BALINERA TRASERA AX100;2625;4200;900219370;5;1
BNDSC70;BANDAS C70/BEST/ACTIVE/LEAD SAKURA;6500;9700;805005639;10;1
BNDSC90;BANDAS C90/XL/AKT110-125/NXG TRAS;6900;10800;805005639;20;1
BPAKT125NK;BARRA PORTABANDA AKT 125 NKD;3500;5600;900219370;3;1
BPAKT125S;BARRA PORTABANDA AKT 125 S;3500;5600;900219370;3;1
BPAX115;BARRA PORTABANDA AX 115;3500;5600;900219370;3;1
BPBX100;BARRA PORTABANDA BOXER 100;3500;5600;900219370;3;1
BPC100;BARRA PORTABANDA C100 WAVE;3500;5600;900219370;2;1
BPCB110;BARRA PORTABANDA CB 110;3500;5600;900219370;2;1
BPCD100;BARRA PORTABANDA CD 100;3500;5600;900219370;2;1
BPCRY110;BARRA PORTABANDA CRYPTON 110;3500;5600;900219370;2;1
BPDIS125;BARRA PORTABANDA DISCOVER 125;3500;5600;900219370;1;1
BPDIS135;BARRA REPOSAPIE DISCOVER 135 SUPREME;25064;38000;900219370;1;1
BPDR200;BARRA PORTABANDA DR 200;3500;5600;900219370;1;1
BPEC100;BARRA PORTABANDA ECO 100;3500;5600;900219370;2;1
BPFR80;BARRA PORTABANDA FR 80;2900;4600;900219370;1;1
BPLIB110;BARRA PORTABANDA LIBERO 110;3500;5600;900219370;1;1
BPPULS180;BARRA PORTABANDA PULSAR 180;3500;5600;900219370;1;1
BPRX115;BARRA PORTABANDA RX 115;3500;5600;900219370;2;1
BPST125;BARRA PORTABANDA STORM 125;3500;5600;900219370;1;1
BPTS125;BARRA PORTABANDA TS 125;3500;5600;900219370;1;1
BPV80;BARRA PORTABANDA V80;2900;4600;900219370;1;1
BPVVA115;BARRA PORTABANDA VIVA 115;3500;5600;900219370;2;1
BPXCD125;BARRA PORTABANDA XCD 125;3500;5600;900219370;1;1
BPXL125;BARRA PORTABANDA XL 125;3500;5600;900219370;1;1
BRAKT100;BARRA REPOSAPIE AKT 100;23678;37000;900219370;1;1
BRAKT125S;BARRA REPOSAPIE AKT 125S;22176;35500;900219370;2;1
BRAX100;BARRA REPOSAPIE AX 100;23678;37000;900219370;2;1
BRBEST125;BARRA REPOSAPIE BEST 125;22550;35000;900219370;1;1
BRBXR100;BARRA REPOSAPIE BOXER 100;27720;43300;900219370;1;1
BRC100BZ;BARRA REPOSAPIE C 100 BIZ;26649;42600;900219370;1;1
BRC100W;BARRA REPOSAPIE C100 WAVE;27143;43500;900219370;1;1
BRC70;BARRA REPOSAPIE C70;22176;34000;900219370;1;1
BRC90;BARRA REPOSAPIE C 90;22522;35800;900219370;1;1
BRCRYP110;BARRA REPOSAPIE CRYPTON 110;22550;36200;900219370;1;1
BRDIS100;BARRA REPOSAPIE DISCOVER 100+;15500;24800;900219370;1;1
BRDIS125;BARRA REPOSAPIE DISCOVER 125 SUPREME;25064;38000;900219370;1;1
BRFR80;BARRA REPOSAPIE FR 80;22292;35600;900219370;1;1
BRLIB110;BARRA REPOSAPIE LIBERO 110;33638;51200;900219370;1;1
BRLIB125;BARRA REPOSAPIE LIBERO 125;35000;54500;900219370;1;1
BRPLA;BATERIA PILA GM 5A3 VIVAX/CRYPTON SELLADA;31715;50800;805005639;4;1
